更新时间,#genre#
2026-01-02 04:57:23,url


央视频道,#genre#
CCTV-17高清,http://113.104.187.200:7088/udp/239.77.1.121:5146
CCTV-17高清,http://113.111.110.220:4022/udp/239.77.1.121:5146
CCTV-17高清,http://113.104.187.200:7088/udp/239.77.1.121:5146
CCTV-17高清,http://113.104.237.144:7088/udp/239.77.1.121:5146
CCTV-17高清,http://113.111.110.220:4022/udp/239.77.1.121:5146
CCTV世界地理,http://58.32.24.46:4022/udp/239.45.0.46:5140
CCTV世界地理[1920*1080],http://223.144.221.22:3000/udp/239.76.254.57:9000
CCTV世界地理[1920*1080],http://223.144.221.22:3000/udp/239.76.254.57:9000
CCTV兵器科技,http://58.32.24.46:4022/udp/239.45.0.45:5140
CCTV兵器科技,http://58.32.24.46:4022/udp/239.45.1.74:5140
CCTV兵器科技[1920*1080],http://223.144.221.22:3000/udp/239.76.254.59:9000
CCTV卫生健康[1920*1080],http://223.144.221.22:3000/udp/239.76.253.247:9000
CCTV卫生健康[1920*1080],http://223.144.221.22:3000/udp/239.76.253.247:9000
CCTV央视台球,http://58.32.24.46:4022/udp/239.45.0.44:5140
CCTV央视台球[1920*1080],http://223.144.221.22:3000/udp/239.76.254.58:9000
CCTV央视文化精品,http://58.32.24.46:4022/udp/239.45.0.53:5140
CCTV央视文化精品,http://58.32.24.46:4022/udp/239.45.1.17:5140
CCTV央视文化精品[1920*1080],http://223.144.221.22:3000/udp/239.76.254.56:9000
CCTV央视文化精品[1920*1080],http://223.144.221.22:3000/udp/239.76.254.56:9000
CCTV女性时尚,http://58.32.24.46:4022/udp/239.45.0.47:5140
CCTV女性时尚[1920*1080],http://223.144.221.22:3000/udp/239.76.254.55:9000
CCTV女性时尚[1920*1080],http://223.144.221.22:3000/udp/239.76.254.55:9000
CCTV怀旧剧场,http://58.32.24.46:4022/udp/239.45.0.49:5140
CCTV怀旧剧场[1920*1080],http://223.144.221.22:3000/udp/239.76.254.53:9000
CCTV怀旧剧场[1920*1080],http://223.144.221.22:3000/udp/239.76.254.53:9000
CCTV电视指南,http://58.32.24.46:4022/udp/239.45.1.73:5140
CCTV电视指南[1920*1080],http://223.144.221.22:3000/udp/239.76.254.61:9000
CCTV电视指南[1920*1080],http://223.144.221.22:3000/udp/239.76.254.61:9000
CCTV第一剧场,http://58.32.24.46:4022/udp/239.45.0.51:5140
CCTV第一剧场[1920*1080],http://223.144.221.22:3000/udp/239.76.254.49:9000
CCTV第一剧场[1920*1080],http://223.144.221.22:3000/udp/239.76.254.49:9000
CCTV风云剧场,http://58.32.24.46:4022/udp/239.45.0.50:5140
CCTV风云剧场[1920*1080],http://223.144.221.22:3000/udp/239.76.254.50:9000
CCTV风云剧场[1920*1080],http://223.144.221.22:3000/udp/239.76.254.50:9000
CCTV风云足球,http://58.32.24.46:4022/udp/239.45.0.43:5140
CCTV风云足球,http://58.32.24.46:4022/udp/239.45.1.75:5140
CCTV风云足球[1920*1080],http://223.144.221.22:3000/udp/239.76.254.52:9000
CCTV风云足球[1920*1080],http://223.144.221.22:3000/udp/239.76.254.52:9000
CCTV风云音乐,http://58.32.24.46:4022/udp/239.45.0.52:5140
CCTV风云音乐[1920*1080],http://223.144.221.22:3000/udp/239.76.254.51:9000
CCTV风云音乐[1920*1080],http://223.144.221.22:3000/udp/239.76.254.51:9000
CCTV高尔夫网球,http://58.32.24.46:4022/udp/239.45.0.48:5140
CCTV高尔夫网球,http://58.32.24.46:4022/udp/239.45.1.72:5140
CCTV高尔夫网球[1920*1080],http://223.144.221.22:3000/udp/239.76.254.62:9000
CCTV高尔夫网球[1920*1080],http://223.144.221.22:3000/udp/239.76.254.62:9000
央视台球高清,http://113.104.187.200:7088/udp/239.253.43.11:5146
央视台球高清,http://113.104.187.200:7088/udp/239.253.43.21:5146
央视台球高清,http://113.104.187.200:7088/udp/239.253.43.11:5146
央视台球高清,http://113.104.237.144:7088/udp/239.253.43.21:5146
央视台球高清,http://113.104.237.144:7088/udp/239.253.43.11:5146
央视台球高清,http://113.111.110.220:4022/udp/239.253.43.21:5146
央视台球高清,http://113.111.110.220:4022/udp/239.253.43.11:5146
央视文化精品高清,http://113.104.237.144:7088/udp/239.253.43.13:5146
央视文化精品高清,http://113.104.187.200:7088/udp/239.253.43.13:5146
央视文化精品高清,http://113.104.237.144:7088/udp/239.253.43.13:5146
央视文化精品高清,http://113.111.110.220:4022/udp/239.253.43.13:5146

卫视频道,#genre#
三沙卫视,http://180.109.94.130:4022/udp/239.49.0.167:8000
三沙卫视,http://222.189.167.56:4022/udp/239.49.0.167:8000
三沙卫视,http://180.109.94.130:4022/udp/239.49.0.167:8000
三沙卫视,http://222.189.167.56:4022/udp/239.49.0.167:8000
三沙卫视,http://58.32.24.46:4022/udp/239.45.0.56:5140
三沙卫视高清,http://113.104.237.144:7088/udp/239.253.43.113:5146
三沙卫视高清,http://113.111.110.220:4022/udp/239.253.43.113:5146
三沙卫视高清,http://113.104.187.200:7088/udp/239.253.43.113:5146
三沙卫视高清,http://113.104.237.144:7088/udp/239.253.43.113:5146
三沙卫视高清,http://113.111.110.220:4022/udp/239.253.43.113:5146
东南卫视,http://180.109.94.130:4022/udp/239.49.8.112:8000
东南卫视,http://222.189.167.56:4022/udp/239.49.8.112:8000
